0
100_per_exp_max_512bp_train
============================================================
<class 'DNABERT_v1.src.transformers.tokenization_dna.DNATokenizer'>
total num of rows: (79755, 4)
embedding size is torch.Size([487, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([487, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([257, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([461, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([457, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([161, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([268, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([427, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([183, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([473, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([487, 768])
embedding size is torch.Size([123, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([403, 768])
embedding size is torch.Size([398, 768])
embedding size is torch.Size([507, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([440, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([333, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([205, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([441, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([393, 768])
